song_name,clip_index,label,label_name,autocorr_decay_tau,coherence_bass,coherence_brilliance,coherence_high_mid,coherence_low_mid,coherence_mean,coherence_mid,coherence_peak_freq,coherence_presence,coherence_sub_bass,cross_mt_bass_mag,cross_mt_brilliance_mag,cross_mt_high_mid_mag,cross_mt_low_mid_mag,cross_mt_mid_mag,cross_mt_presence_mag,cross_mt_sub_bass_mag,cross_welch_bass_mag,cross_welch_brilliance_mag,cross_welch_high_mid_mag,cross_welch_low_mid_mag,cross_welch_mid_mag,cross_welch_presence_mag,cross_welch_sub_bass_mag,mfcc_0_mean,mfcc_0_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mt_bass_power,mt_brilliance_power,mt_high_mid_power,mt_low_mid_power,mt_mid_power,mt_presence_power,mt_spectral_flatness,mt_spectral_rolloff_85,mt_spectral_rolloff_95,mt_sub_bass_power,note_density,onset_strength_mean,onset_strength_std,pdc_asymmetry,pdc_lr_bass,pdc_lr_brilliance,pdc_lr_high_mid,pdc_lr_low_mid,pdc_lr_mid,pdc_lr_presence,pdc_lr_sub_bass,pdc_rl_bass,pdc_rl_brilliance,pdc_rl_high_mid,pdc_rl_low_mid,pdc_rl_mid,pdc_rl_presence,pdc_rl_sub_bass,rms_mean,rms_std,stft_bass_mean,stft_bass_std,stft_brilliance_mean,stft_brilliance_std,stft_high_mid_mean,stft_high_mid_std,stft_low_mid_mean,stft_low_mid_std,stft_mid_mean,stft_mid_std,stft_presence_mean,stft_presence_std,stft_spectral_flux_mean,stft_spectral_flux_std,stft_sub_bass_mean,stft_sub_bass_std,stft_temporal_centroid,tempo,welch_bass_power,welch_brilliance_power,welch_high_mid_power,welch_low_mid_power,welch_mid_power,welch_presence_power,welch_spectral_centroid,welch_spectral_kurtosis,welch_spectral_skewness,welch_spectral_spread,welch_sub_bass_power,xcorr_lr_lag_at_peak,xcorr_lr_peak,zcr_mean,zcr_std
Beethoven - Moonlight Sonata (1st Movement),0,0,emotional,0.0010000000000004003,0.8740195,0.036754727,0.18401368,0.4813467,0.14121737,0.37621096,64.599609375,0.04824763,0.9587726,0.0011875784214969562,3.0275006610093456e-11,1.9862183450342743e-08,0.0006416351885478682,2.6181442050218535e-05,6.000818256051813e-11,1.2654912867198548e-05,0.002136753,2.1368823e-11,3.3889357e-08,0.0013638316,5.041778e-05,5.2354676e-11,7.646355e-05,-149.29813,35.453568,-4.1345835,5.6780477,-5.911522,4.7797503,-8.418033,5.3127413,211.97247,23.105728,67.52629,16.354643,2.7417169,10.242187,2.9576273,10.427501,0.19387756,7.1107183,-7.3965693,6.6811576,-5.954591,6.503861,-4.523726,5.781458,-4.9635906,5.4183292,0.0014463197666353634,4.341709497003892e-11,2.3265596490626803e-08,0.0007022907180523364,3.269803250688346e-05,9.330565559062024e-11,8.666088564929573e-06,416.3666666666667,661.9,1.5382580730885373e-05,1.9666666666666666,0.49182147,0.69367486,-0.002865146876791902,0.2909085977934199,0.0,0.4583107959988408,0.3569691777878777,0.40734150463810426,0.0,0.2710158907157631,0.6988564668021925,0.0,0.40027737804904123,0.5759112025051492,0.33687523007894105,0.0,0.6404884432168783,0.9177411,0.39650905,-34.53773,12.62222,-79.993286,0.19008332,-78.64828,4.2002125,-36.550167,15.33472,-61.348682,15.748289,-79.977745,0.36850756,2.3292282,0.68282056,-39.827953,7.5264025,0.5043123447250687,123.046875,0.0026309972,8.1463246e-11,4.8878334e-08,0.0016284346,6.628293e-05,1.7668053e-10,316.44369768716655,14.734939549352056,2.153219429569475,171.29953305745684,9.270879e-05,0.00013605442176870748,0.6687433,0.028937844669117647,0.006594518373224261
Beethoven - Moonlight Sonata (1st Movement),1,0,emotional,0.0010000000000003424,0.9183067,0.037525892,0.29320002,0.4780583,0.15923457,0.33403352,75.3662109375,0.06344527,0.9624983,0.0014673800776935034,1.709961584577198e-11,6.246646281855493e-08,0.0004909956638015427,3.212717085723638e-05,7.194862556845861e-11,7.203566244995774e-06,0.0026777978,1.2925423e-11,9.741666e-08,0.0010245946,5.4191227e-05,9.3515605e-11,3.0673833e-05,-140.32329,39.94488,-6.0271287,7.5338035,-6.2319455,6.34268,-4.6124268,6.6699576,189.86754,26.141376,65.56085,15.592769,8.669325,10.212571,6.463136,9.076978,4.3577604,7.7098107,-3.3484786,6.496946,-7.0682817,7.2789054,-6.8393025,5.7573647,-5.5874577,6.348741,0.0018058188212457871,2.607468803683851e-11,6.799700056213766e-08,0.0005086120048837453,2.5364080022307824e-05,1.051250532100762e-10,7.993703193437139e-06,417.0333333333333,556.9666666666667,8.915026231359465e-06,1.4,0.47546598,0.82231003,0.18088197802686695,0.697918585185468,0.0,0.46089439869330917,0.7755018711762148,0.49169546226608074,0.0,0.6294795336603378,0.5272263025987134,0.0,0.26741959615591204,0.4942790229259987,0.3317549085091442,0.0,0.4781405058236129,0.86990327,0.4929007,-40.52419,13.823628,-79.99962,0.024115909,-79.0135,3.8637378,-41.491074,14.443364,-65.91046,14.019354,-79.98591,0.35709214,2.0896916,0.74651974,-46.941193,7.438704,0.5508746980707714,123.046875,0.0033125132,4.9541714e-11,1.2284798e-07,0.0011971133,5.3121246e-05,1.9955698e-10,270.524662374524,19.956489840469338,2.3228158168811315,163.31178608538076,3.7917314e-05,0.00018140589569160998,0.64656883,0.028032332381965945,0.006957607797311412
Beethoven - Moonlight Sonata (1st Movement),2,0,emotional,0.004632238873998121,0.9223973,0.0349163,0.28513482,0.39707524,0.15845025,0.3521046,64.599609375,0.06986631,0.9692037,0.000983183185458621,3.70124867776921e-11,6.608983252465028e-08,0.0005527328191473113,4.6258374390112096e-05,1.6752207555689146e-10,1.3647083434289615e-05,0.0019075513,1.650608e-11,1.1133461e-07,0.0010288681,8.244655e-05,1.936808e-10,4.093387e-05,-144.77284,44.75877,-6.479109,6.7392244,-8.577776,6.8399587,-5.389573,7.8369985,201.85506,28.583088,58.73926,20.742212,7.0643306,12.809558,11.6748905,7.440154,3.9915643,8.295563,-6.598373,8.251211,-6.0358396,7.9461427,-3.355616,6.9863167,-3.3961706,7.218689,0.0012666622245562046,6.517692910264889e-11,7.381545690737132e-08,0.0007733570158564806,3.776677033035447e-05,2.752193304747748e-10,1.9577305445989308e-05,418.5,563.0,1.7622723561596877e-05,1.5,0.5128455,0.84938604,0.21462288852881495,0.6446265645195928,0.0,0.5189832894847506,0.6903769532840848,0.32409787666934736,0.0,0.597242323259162,0.4662829244004248,0.0,0.09878446051273983,0.3913610429725604,0.21848852789084539,0.0,0.4650196520734159,0.8613489,0.50572723,-36.91193,13.706362,-79.98143,0.46486798,-78.231476,4.997766,-37.283756,14.173321,-62.46559,15.0748625,-79.944435,0.83975136,2.357039,0.8844442,-41.648827,7.5025153,0.5435051260075269,123.046875,0.0024812417,6.8177866e-11,1.3716154e-07,0.0016131819,7.585092e-05,4.1721476e-10,290.2903231124849,18.867064943132814,2.3902335671173,184.53031446614935,5.2855885e-05,9.070294784580499e-05,0.55600935,0.030269658233359132,0.007319580405838994
Cherished Memories (From Pluto),0,0,emotional,0.001000000000000001,0.71295065,0.70164174,0.7602164,0.55518377,0.6250469,0.6027351,9695.32470703125,0.324393,0.39345318,0.0005419530284899584,4.308949199319196e-11,6.381052508442559e-07,0.0009385871199547945,2.971701591150019e-05,8.608910583349591e-10,7.388815473333887e-06,0.0010061132,8.214141e-11,1.2317773e-06,0.0017415102,5.9129696e-05,1.630344e-09,1.1519829e-05,-62.976032,41.41991,-4.5089793,7.632198,-10.15297,9.996386,-11.270576,8.262629,201.00294,21.190104,7.3835216,24.971937,-4.4528513,10.439317,18.610363,8.541997,-7.399516,10.845592,-9.201094,8.409854,-2.6885614,6.6411996,-13.469479,7.5219836,-10.923769,7.19149,0.0006841836722161154,6.158655257673677e-11,8.451843022620223e-07,0.001262367652685082,3.777766301384815e-05,1.1226301742294791e-09,1.9554358703293396e-05,494.2,785.6333333333333,1.0390718056501532e-05,2.8333333333333335,0.67300695,0.8526514,-0.005183878077664017,0.5043618264764763,0.0,0.2797111212564991,0.42452062120443157,0.45344013614680184,0.0,0.578711981777407,0.1546723712003094,0.0,0.6378319050091482,0.4777735213145768,0.3398529873412141,0.0,0.15258635052724243,0.90256256,0.4302776,-37.35832,12.398227,-79.98779,0.2792741,-73.8683,9.538084,-38.14632,13.689267,-55.913784,14.728134,-79.8291,1.3901707,2.9856167,0.89400446,-51.486286,9.205637,0.49441657244769943,107.666015625,0.0013585656,1.2066355e-10,1.6499174e-06,0.0024865414,8.1438346e-05,2.2381776e-09,410.19071794641224,21.795991859111666,3.334241903336408,263.5039799624999,1.9056744e-05,4.5351473922902495e-05,0.5482785,0.04197253531346749,0.009426851318922623
Cherished Memories (From Pluto),1,0,emotional,0.001000000001542735,0.6995965,0.6873203,0.73403496,0.57632446,0.62340087,0.64231414,9673.79150390625,0.3453971,0.43194392,0.0006861964840984522,2.2674748252194123e-11,3.471577326303967e-07,0.0004645190858687743,7.3101613225024e-05,5.169278951569287e-10,5.82136114509175e-06,0.0014411204,4.4083168e-11,8.809686e-07,0.001077814,0.00014642904,8.864412e-10,9.661415e-06,-91.53902,60.63267,-7.9896812,10.706943,-8.670605,12.054758,-8.096066,9.561981,197.20758,34.81533,10.203475,25.837229,-8.324305,8.983736,14.514847,12.795753,-6.870808,9.034776,-11.027368,9.612088,-3.87303,9.670928,-11.501134,8.806172,-12.775569,8.664783,0.0008038248939445689,3.399055185849556e-11,4.4271492966109096e-07,0.0006117529476313779,8.69300922689309e-05,6.073803513309206e-10,2.267556502861e-05,740.5666666666666,1043.2,7.5922723115478145e-06,1.9333333333333333,0.6373433,0.8941207,0.02780568499820041,0.46270408152745013,0.0,0.08274750212948079,0.32101792045060157,0.5492332411933917,0.0,0.4202101668256846,0.2144950777824053,0.0,0.42766141628750837,0.47746759276232903,0.3434337157306681,0.0,0.12702281786265962,0.8269322,0.5606337,-40.04483,14.149238,-79.9768,0.45042127,-74.6746,9.139682,-40.33084,14.830042,-57.088333,16.039454,-79.85478,1.2197219,2.768553,1.0070223,-55.108437,10.044626,0.6623760559041126,103.359375,0.001758947,6.404756e-11,1.1430552e-06,0.0014968354,0.00018758523,1.0980485e-09,444.1944039345957,8.343608253727062,1.850508752684011,314.20284682511254,1.4260703e-05,4.5351473922902495e-05,0.60590035,0.04279188032120743,0.01196621805163644
Cherished Memories (From Pluto),2,0,emotional,0.0010000000000130354,0.6998008,0.69764096,0.7380057,0.5890524,0.6285173,0.62504107,9679.1748046875,0.3560842,0.3940251,0.0006317509022317012,3.205966973041978e-11,6.128872431512812e-07,0.000530412893415895,8.297429737654858e-05,7.47381367192192e-10,4.331673144501858e-06,0.0013562435,4.9839056e-11,1.3360242e-06,0.0010533485,0.00017315205,1.4269503e-09,7.933435e-06,-82.95428,67.17566,-9.965376,9.766884,-7.1948657,8.996675,-0.7395187,9.602726,211.99062,38.73121,2.1433885,24.139921,-11.605703,11.123088,13.870159,16.994421,-8.460418,8.979011,-8.037724,8.545546,-2.0388777,7.616248,-12.396143,8.739086,-13.290362,8.613367,0.0007518531198473403,4.261086219717223e-11,7.607882861130239e-07,0.0006700553064870535,9.992267897990036e-05,9.109415766116493e-10,3.1923781814930475e-05,779.2333333333333,1236.3,5.694263628591366e-06,2.5,0.65137863,0.77966243,0.0764083345550427,0.4374422011555046,0.0,0.2684936618146112,0.32919579996409887,0.5911887953199876,0.0,0.4678640570796482,0.10846927520534365,0.0,0.5826663116546945,0.40322393955077257,0.3411100669649606,0.0,0.0678425240878293,0.86068785,0.5084274,-37.19997,15.480612,-79.966095,0.5975187,-73.10162,10.194691,-37.652164,14.407966,-53.306824,16.190788,-79.780174,1.6045908,2.9719133,0.9736018,-53.079674,9.932964,0.41591467895351564,103.359375,0.0016756465,7.1340475e-11,1.6879103e-06,0.0014068637,0.0002214426,1.8529036e-09,471.1093555123184,7.76418365376107,1.8844184525998273,347.81426527634403,1.211401e-05,4.5351473922902495e-05,0.63211113,0.04883341597329721,0.014817751787830756
Ludovico Einaudi - Experience (solo piano performance),0,0,emotional,0.05452928061280408,0.4431714,0.058145616,0.08734215,0.33258507,0.11493623,0.292662,91.51611328125,0.08392874,0.5370766,0.0005283892192644266,4.583173991948968e-11,3.432415602885975e-09,0.000540565137645032,4.6671890470310215e-05,3.7290443737056975e-10,2.722291975947577e-06,0.00074452546,4.264221e-11,4.8035482e-09,0.0011173732,9.59315e-05,5.1591476e-10,1.2971511e-05,-149.83795,44.276035,-5.4925637,6.170684,-5.040163,6.7422204,-3.954778,8.827715,177.32677,32.965508,69.10178,11.198188,24.553743,12.916631,12.056085,8.149241,0.1607838,7.150522,-7.981218,5.9298034,-10.225778,6.831357,-7.75335,6.8333573,-5.7291193,6.646306,0.0007957328407946522,1.2197633620495256e-10,4.807702974616276e-09,0.0006609940213255785,9.746557314543571e-05,7.024870347939655e-10,2.418834325489204e-05,554.8,587.1,5.97090176784456e-06,2.6666666666666665,0.60219824,0.65380406,-0.07946214615216515,0.1691940053727839,0.0,0.2088692888805411,0.16497535297601562,0.2850772809977223,0.0,0.18347208087245115,0.5060320683478573,0.0,0.2827909852219973,0.4588853859891847,0.3027540428649443,0.0,0.18973317976551338,0.8169378,0.5760128,-34.60535,11.859812,-79.96524,0.46152645,-78.165245,3.6472015,-41.37836,15.396399,-65.938354,14.181346,-79.60926,1.4677881,2.4016383,0.7451749,-52.84999,11.00254,0.6494112335522481,99.38401442307692,0.0015738432,1.9592457e-10,9.903839e-09,0.0015294072,0.0002151008,1.31932e-09,349.8608028396695,7.987441827711189,0.5883052877615769,178.5764308165892,2.6765005e-05,-0.01056689342403628,0.35040867,0.03243480009191176,0.009597493247494728
Ludovico Einaudi - Experience (solo piano performance),1,0,emotional,0.0010000000046737581,0.43823925,0.048951324,0.09303564,0.33900073,0.11619865,0.34223118,91.51611328125,0.07311646,0.48846078,0.0004398321587966012,4.075036652898324e-11,1.3209097839558314e-08,0.0005679202043878657,5.501058324894808e-05,3.3046111027096053e-10,2.2551591544434555e-06,0.00066003855,4.1498624e-11,2.0232887e-08,0.0010963911,0.000100555575,4.434783e-10,1.1009255e-05,-138.62471,42.80799,-4.5940604,6.128216,-4.9591393,7.059903,-3.862733,7.9294715,189.16515,29.418476,59.99907,13.233309,22.614851,12.457035,13.4890375,8.515424,-0.5775372,7.047673,-8.026617,6.7320724,-10.83116,6.153364,-8.67882,6.7974033,-5.2407637,6.669691,0.0008066894381383242,1.256241314615726e-10,1.688299559024273e-08,0.0005576161359191566,0.00012229798020142865,7.66649609946249e-10,2.4212423048854484e-05,554.9666666666667,556.6,6.095501037280542e-06,2.8333333333333335,0.6846107,0.725178,-0.20565571967521593,0.2925460833566078,0.0,0.07440653039469838,0.2432696456196513,0.3048392623485858,0.0,0.2165586386807905,0.5233366437460425,0.0,0.4748592825265811,0.5367019852488554,0.4020896362162418,0.0,0.26775404231083827,0.861906,0.506759,-32.07146,10.687416,-79.9605,0.42548826,-77.323906,4.630123,-39.605087,13.629904,-63.872536,14.53304,-79.520164,1.604543,2.635088,0.7215746,-52.185383,11.053438,0.44622663455474726,103.359375,0.001678419,2.4698799e-10,3.375405e-08,0.001185723,0.00026403464,1.5241741e-09,377.7568327160302,9.59035313654645,0.4823364158775372,187.50177528301293,2.8010025e-05,-0.0013605442176870747,0.364536,0.03300509142801858,0.010739949596405701
Ludovico Einaudi - Experience (solo piano performance),2,0,emotional,0.06818521387532282,0.41398996,0.0459173,0.09884432,0.3983983,0.1143774,0.3207953,64.599609375,0.07518329,0.4835297,0.0001714552941791094,3.351612158360382e-11,1.376743373536485e-08,0.0006752723113465504,8.326791368674732e-05,3.091883298927978e-10,1.8490722164739319e-06,0.0002598199,3.3913056e-11,1.7378921e-08,0.0012211946,0.00013326982,4.2525244e-10,8.306803e-06,-144.34547,42.401127,-7.135632,5.726952,-5.8694134,7.2389183,-4.562126,7.1754594,196.79506,26.536642,52.69889,15.473728,14.431092,13.460582,9.690052,6.4721212,-2.913321,6.265552,-12.408736,7.518383,-16.68703,6.712505,-11.190952,6.1615767,-6.276484,6.205557,0.00027745826851808164,8.771109254998952e-11,2.0042605491074114e-08,0.0009064546530039311,0.00015126567074156234,5.85146182912069e-10,1.898258011245012e-05,555.8666666666667,587.5666666666666,4.303813588586727e-06,4.566666666666666,0.7749694,0.85908437,-0.17557867737643984,0.15925779013770433,0.0,0.04269252062124557,0.09811789875801502,0.37337652640753743,0.0,0.1394199634670857,0.3764705524208567,0.0,0.35242170039504184,0.6202083585386704,0.4293426166728469,0.0,0.08850798086843437,0.9173699,0.3968335,-34.73361,9.390797,-79.9529,0.46973866,-76.75117,5.320146,-35.598984,13.269654,-60.5776,15.320299,-79.37969,1.8833874,2.9152894,0.7918327,-50.37142,10.803006,0.5589034758598946,99.38401442307692,0.00057244377,1.665541e-10,3.805301e-08,0.0018250382,0.00029321943,1.1479412e-09,407.6555338026816,12.33243947847579,0.8581492384041243,163.40007931189058,1.8653212e-05,0.0005895691609977325,0.37232652,0.03666190982972136,0.009046430802963058
Max Richter - Written On The Sky (Official Audio),0,0,emotional,0.0010000000000002698,0.581606,0.25225604,0.38339964,0.5059666,0.32850808,0.3832894,102.28271484375,0.37743014,0.46210098,0.0005346694565517325,3.560260056207869e-11,3.1840692786341517e-07,0.0007268854269881902,6.866688743168094e-05,2.1158167125515886e-09,4.8891551563377765e-06,0.0009835685,6.0244795e-11,5.9204984e-07,0.0013417731,0.00012386522,3.8915133e-09,8.10147e-06,-83.37353,38.943844,-0.29607648,8.694599,-5.5267015,8.085008,-5.8384748,8.415042,205.09523,14.915189,19.985538,23.464865,3.5837274,9.719357,15.687058,8.91008,-5.133176,12.01018,-8.523548,8.157508,-10.320131,6.4030356,-14.643513,7.8435507,-6.2392135,9.294968,0.0006582135076143191,5.762382673773943e-11,3.9327499072546606e-07,0.000958345619504293,8.377402765518659e-05,2.9748872673846066e-09,2.220419304246299e-05,554.0333333333333,636.7,6.581762991389014e-06,3.6,0.7214621,0.8546365,-0.056998148115732034,0.2705963005854118,0.0,0.08678231669527081,0.1883860707518218,0.29882229202173416,0.0,0.07240561095070104,0.22205142502010908,0.0,0.35084939278002514,0.14157011060765087,0.27822960960948445,0.0,0.2114023575824871,0.936014,0.3510243,-35.985455,12.053196,-79.979675,0.38150308,-74.69299,9.360845,-35.235806,12.362376,-56.294716,15.235428,-79.62605,2.2468822,2.986227,0.89085925,-49.030167,7.120209,0.4270285175523297,123.046875,0.0013353402,1.0398245e-10,8.023328e-07,0.002009971,0.00016459198,5.757169e-09,387.05696382182293,21.307579853400444,2.8674833586399413,244.79423021903585,1.2792465e-05,-9.070294784580499e-05,0.6164333,0.03838487749129257,0.011668509757350187
Max Richter - Written On The Sky (Official Audio),1,0,emotional,0.0010000000032019606,0.57509553,0.24840985,0.3578912,0.5323077,0.32032323,0.39573932,5857.03125,0.3561105,0.4181899,0.0005630393424935143,4.011524631978612e-11,2.8113343446220094e-07,0.0006370432784199702,7.214349715077854e-05,1.245364142957344e-09,3.7338057677038975e-06,0.0009988006,7.1694935e-11,5.886287e-07,0.0011499843,0.00015626608,2.9891387e-09,6.0738707e-06,-90.7594,38.34469,-1.1609446,9.337333,-3.6111436,7.4349866,-4.708853,7.9343696,205.39789,15.492189,23.195536,22.716642,3.9977286,9.883919,15.686402,8.516935,-1.4661973,11.431801,-6.0709906,7.8788767,-10.13003,7.52577,-13.4534,7.5497785,-6.0515084,9.1649685,0.0007046276014623155,6.199837311831247e-11,3.529809217016673e-07,0.0008087913741018061,9.251350293419131e-05,1.8008010833993048e-09,2.21274548648797e-05,619.4,701.2333333333333,5.241585064495938e-06,3.3,0.7218347,0.8961398,-0.10460060273090943,0.11309208959011707,0.0,0.169979865198682,0.17465193717754157,0.26806661652789054,0.0,0.06834317386796568,0.14766546683839962,0.0,0.3896490069784992,0.19093835553833252,0.34043652583435996,0.0,0.11825803958207214,0.9497165,0.3117152,-35.4475,11.960067,-79.954185,0.72705424,-75.11968,9.056385,-36.167095,12.473641,-56.950912,15.3624935,-79.59402,2.3675127,2.9450226,0.97528315,-49.006832,6.7316055,0.5524111988265946,129.19921875,0.0013825642,1.2367259e-10,8.2136796e-07,0.0016309918,0.00021973735,4.852943e-09,411.0886291958393,13.292825237776855,2.1603996026832575,274.30722688068494,1.0196853e-05,0.0,0.5993059,0.03729418113873839,0.013472933380165914
Max Richter - Written On The Sky (Official Audio),2,0,emotional,0.0010000000000000002,0.59119385,0.26723012,0.362822,0.50663644,0.32869747,0.38650608,5857.03125,0.35922077,0.39377636,0.0005714008865677216,6.279427528933983e-11,4.180328811609074e-07,0.0005035531147297626,0.00010958154451381513,3.871265517881688e-09,3.6367480550793397e-06,0.0011045396,9.837335e-11,7.925207e-07,0.0009032916,0.00019262395,6.772123e-09,5.6088747e-06,-85.42892,35.447853,1.8051746,10.434498,-2.19968,8.554302,-5.379604,8.906466,209.07068,14.115909,14.666315,20.882406,3.816885,8.50849,14.250204,11.052371,-3.1752424,10.433895,-6.019686,7.4001193,-11.171305,7.63423,-11.741282,7.668971,-2.3580587,9.873982,0.0006943892827312609,8.63099538980093e-11,5.246914786441309e-07,0.0006256201726852837,0.0001384066678777007,5.138713418889313e-09,2.4778872633470938e-05,696.1666666666666,829.0,4.908206733630339e-06,3.4,0.7910202,0.9832585,-0.05058294981989833,0.14375765804854493,0.0,0.17245592061039738,0.2137619478611231,0.3082978119341234,0.0,0.054427804328006646,0.13480081948129946,0.0,0.3711728579801594,0.15031031215393725,0.31068249698746275,0.0,0.10240915048948265,0.960227,0.27666816,-34.3568,11.949828,-79.953094,0.6437381,-74.072075,9.942511,-35.76662,12.338354,-54.9044,15.417092,-79.33626,3.08263,3.1158826,0.9886994,-48.316853,6.638765,0.5358768816935955,129.19921875,0.0014826761,1.5921324e-10,1.0590627e-06,0.0012585983,0.00026730855,9.665386e-09,433.6701832177139,11.715874965214827,1.9046695878384465,296.60992935650637,9.239667e-06,0.0,0.62138164,0.04092265504063467,0.014505419462498467
